Gr.1/2_DPI-28	Gr.1/11_DPI-28	Gr.1/18_DPI-28	Gr.1/21_DPI-28	Gr.1/40_DPI-28	Gr.1/43_DPI-28	Gr.1/46_DPI-28	Gr.1/56_DPI-28	Gr.2/ 7_DPI-28	Gr.2/ 19_DPI-28	Gr.2/ 29_DPI-28	Gr.2/ 32_DPI-28	Gr.2/ 37_DPI-28	Gr.2/ 39_DPI-28	Gr.2/ 45_DPI-28	Gr.2/ 59_DPI-28	Gr.3/ 1_DPI-28	Gr.3/ 15_DPI-28	Gr.3/ 25_DPI-28	Gr.3/ 33_DPI-28	Gr.3/ 35_DPI-28	Gr.3/ 38_DPI-28	Gr.3/ 44_DPI-28	Gr.3/ 48_DPI-28	Gr.4a/ 16_DPI-28	Gr.4a/31_DPI-28	Gr.4a/ 41_DPI-28	Gr.4a/540_DPI-28	Gr.4b/ 9_DPI-28	Gr.4b/12_DPI-28	Gr.4b/ 28_DPI-28	Gr.4b/34_DPI-28	Gr.1/2_DPI 0	Gr.1/11_DPI 0	Gr.1/18_DPI 0	Gr.1/21_DPI 0	Gr.1/40_DPI 0	Gr.1/43_DPI 0	Gr.1/46_DPI 0	Gr.1/56_DPI 0	Gr.2/ 7_DPI 0	Gr.2/ 19_DPI 0	Gr.2/ 29_DPI 0	Gr.2/ 32_DPI 0	Gr.2/ 37_DPI 0	Gr.2/ 39_DPI 0	Gr.2/ 45_DPI 0	Gr.2/ 59_DPI 0	Gr.3/ 1_DPI 0	Gr.3/ 15_DPI 0	Gr.3/ 25_DPI 0	Gr.3/ 33_DPI 0	Gr.3/ 35_DPI 0	Gr.3/ 38_DPI 0	Gr.3/ 44_DPI 0	Gr.3/ 48_DPI 0	Gr.4a/ 16_DPI 0	Gr.4a/31_DPI 0	Gr.4a/ 41_DPI 0	Gr.4a/540_DPI 0	Gr.4b/ 9_DPI 0	Gr.4b/12_DPI 0	Gr.4b/ 28_DPI 0	Gr.4b/34_DPI 0	Gr.1/11_DPI +14	Gr.1/18_DPI +14	Gr.1/40_DPI +14	Gr.1/46_DPI +14	Gr.2/ 19_DPI +14	Group 3_DPI +14	Gr.2/ 45_DPI +14	Gr.2/ 59_DPI +14	Gr.3/ 1_DPI +14	Gr.3/ 15_DPI +14	Gr.3/ 25_DPI +14	Gr.3/ 38_DPI +14	Gr.4a/ 16_DPI +14	Gr.4a/41_DPI +14	Gr.4b/ 12_DPI +14	Gr.4b/34_DPI +14
7.2	9.6	12.2	12.2	21.8	31.3	23.5	12.8	12.2	26.5	21.1	31.1	24.1	29.5	15.3	5.4	13.6	9.5	8.9	32.200000000000003	30.1	16.100000000000001	14.4	22.2	14.4	14.4	37.9	5.2	13.3	1	22.8	0.9	648.4	251.3	349.8	185.8	141.5	235.6	200.9	737.1	1746	1156.0999999999999	1040.0999999999999	2403.1	1261.2	2573.6	1067.7	14.6	14.6	8.9	1	13.9	15.2	15.2	15.2	10	2.4	15.2	24.7	15.2	13.4	0.9	0.9	26.7	66805.8	22984.799999999999	17506.599999999999	15574.3	39804.400000000001	43940.9	37017.199999999997	17880	377.4	497.5	320.10000000000002	428.8	576.5	341.4	1537.7	1149.2
16.3	16.3	261.5	190	120.7	177.7	16.3	52.7	16.3	174.5	186.9	159.80000000000001	106.2	18.3	105.6	18.3	18.3	18.3	142.9	186.6	268.5	16.899999999999999	143.6	16.899999999999999	56.3	284.3	133.80000000000001	16.899999999999999	16.899999999999999	16.899999999999999	143.9	15.1	487.4	120.8	201.6	156.30000000000001	246.2	195.2	210.5	150.30000000000001	147.4	208.6	240.6	117.9	88.4	119.3	198.7	238.2	31.6	10.7	15.6	41.8	15.6	15.6	47.5	15.6	15.6	15.6	83.2	15.6	14.8	14.8	58.8	14.8	28004.9	11708.2	11466.8	10747.1	17674.8	22954.6	17509.900000000001	12695.8	4312.3	9042.7000000000007	3875.4	3323.5	5896.1	4808.6000000000004	11936.3	19079.5
33.9	19.3	19.3	19.3	39.4	44.4	72.2	19.3	19.3	19.3	17.7	17.7	76.5	17.7	26.2	17.7	17.7	27.5	17.7	17.7	21.5	14.4	16.5	27	22.1	21.5	33.799999999999997	14.8	13.3	14.4	22.8	13.1	198.6	70.400000000000006	108.2	68.900000000000006	71.400000000000006	174.4	75.900000000000006	351.4	455.6	273.5	180.9	267.2	113.1	488.9	273.7	308.89999999999998	13.3	13.3	40.4	24.6	20.399999999999999	15.1	15.1	15.1	15.1	15.1	15.1	15.1	13.4	14.1	14.1	26.7	20120.099999999999	9312.9	4713.5	5972.7	13601.6	14445.9	15373.8	6981.6	91.5	182.3	60.8	171	99.8	75.599999999999994	174.5	261.3
15	15	15	15	15	15	15	15	15	15	13.5	13.5	13.5	13.5	13.5	13.5	24	13.5	13.5	13.5	15.8	15.8	6.7	15.8	15.8	15.8	15.8	15.8	15.8	15.8	23.8	23.8	45.3	23.8	46.6	44.6	43.1	45.5	45.5	48	23.4	46	26.3	24.6	24.1	23.4	23.9	12.9	12.9	19.7	66.599999999999994	23.2	12.9	12.9	12.9	12.9	12.9	12.9	12.9	12.9	9	15.1	15.1	15.1	15.1	15.1	15.1	15.1	15.1	15.1	30.1	68.5	15.1	excluded	15.1	15.1	25.2	22	26	29.4
39.799999999999997	17.399999999999999	146.30000000000001	99.6	87	74.2	72.8	98.7	37.6	164.2	111.4	93	95.1	81.3	57.4	54.2	29.7	29.1	81.3	67.900000000000006	81.3	69.400000000000006	65.099999999999994	53.1	43.4	57.2	91.2	74.400000000000006	20.6	46.9	83	55.3	499.9	194.7	149.30000000000001	100.9	108.8	316.5	319.10000000000002	283	593.70000000000005	306.8	459	225.1	193.5	171.2	344.6	459.9	27.9	53.8	44.2	34.799999999999997	76.3	44.1	29.5	24	25.5	40.6	45.5	42.2	13.4	60.6	40.9	31	46868.4	14054.2	16281.6	15635.8	28891	40842.1	19360.900000000001	11878.4	1390.2	2913.8	1785.8	1476.4	2126.6	3343	5696.4	6454.6
